Substructure,Fold,Importance,Central Atom
847961216,0,-0.00012708743264477906,N
847961216,0,-0.0010450031766194856,N
847961216,0,-0.001105684059290235,N
847961216,0,-2.5594725739819246e-05,N
847961216,0,-0.0029172971402122716,N
864942730,0,-0.00632355987191735,O
864942730,0,-0.0009470911644947622,O
864942730,0,-0.005862087685741035,O
864942730,0,-0.006781189543920374,O
864942730,0,-0.005815737743795069,O
882399112,0,-0.001078596031198642,F
882399112,0,-0.0027088430539995434,F
882399112,0,-0.0005558373105503112,F
882399112,0,-0.0001372200946151425,F
882399112,0,-0.002631270926119811,F
2041434490,0,0.003068663800638971,N
2041434490,0,-0.0010834331469922187,N
2041434490,0,-0.0042881173035417275,N
2041434490,0,0.00735252665998265,N
2041434490,0,0.008285476945268155,N
2092489639,0,0.01244585622896377,N
2092489639,0,0.01727055479592665,N
2092489639,0,0.009750841482872419,N
2092489639,0,0.011711019617322904,N
2092489639,0,0.0045846044050766865,N
2246699815,0,0.0068651050078828435,C
2246699815,0,0.0018891103213528604,C
2246699815,0,0.006342502994808763,C
2246699815,0,0.004073873283596874,C
2246699815,0,0.00734288899528146,C
2246728737,0,0.00735587584440589,C
2246728737,0,0.0025192413615652276,C
2246728737,0,0.000555827930180719,C
2246728737,0,-0.0011712209787120287,C
2246728737,0,-5.771211250005237e-05,C
2968968094,0,-0.013957890181431898,C
2968968094,0,-0.007047856439951872,C
2968968094,0,-0.020299248696383887,C
2968968094,0,-0.007164713906129383,C
2968968094,0,-0.028490744770884757,C
2976033787,0,-0.005748768232834767,C
2976033787,0,-0.005021655161897787,C
2976033787,0,-0.006068045051087045,C
2976033787,0,0.00024756902256850566,C
2976033787,0,0.00031878306614852026,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
10565946,0,0.0006736994787499562,O
10565946,0,-0.01294053137802298,O
10565946,0,-0.0037014961445633876,O
10565946,0,-0.0049325106331007396,O
10565946,0,-0.001371998074350178,O
98513984,0,-0.005756842323578981,C
98513984,0,-0.006178069526316166,C
98513984,0,-0.00389033848789222,C
98513984,0,-0.0038734746111425133,C
98513984,0,-0.004520336303491912,C
295371635,0,0.0,C
295371635,0,0.0,C
295371635,0,0.0,C
295371635,0,0.0,C
295371635,0,0.0,C
517457164,0,0.0,C
517457164,0,0.0,C
517457164,0,0.0,C
517457164,0,0.0,C
517457164,0,0.0,C
553412256,0,0.00962947356050703,C
553412256,0,0.007425751269756198,C
553412256,0,0.010956457463057512,C
553412256,0,0.017857305440380222,C
553412256,0,0.0018165524492169682,C
571978829,0,0.0012060279887229353,C
571978829,0,0.0016573154928155587,C
571978829,0,0.0011589762080761457,C
571978829,0,0.00238701239059691,C
571978829,0,0.0016604437425378205,C
600629739,0,0.006446228342331439,N
600629739,0,0.008058320402601127,N
600629739,0,0.009677170945149638,N
