Substructure,Fold,Importance,Central Atom
3218693969,0,0.0055170177700459,C
3218693969,0,0.000548293460523,C
3218693969,0,0.0113146516945574,C
3218693969,0,-0.0012762305470721,C
3218693969,0,-0.0019398696649571,C
3217380708,0,0.002341694942098,C
3217380708,0,0.0081409260313213,C
3217380708,0,0.0048648586533764,C
3217380708,0,0.0128404900093329,C
3217380708,0,0.0081977950660931,C
951226070,0,0.0003597891755023,C
951226070,0,0.0029809617390955,C
951226070,0,-0.0015050938576106,C
951226070,0,0.0016140427315672,C
951226070,0,-0.0033399103267387,C
2968968094,0,0.0045710567988668,C
2968968094,0,-0.0027650849957072,C
2968968094,0,0.0019482914133837,C
2968968094,0,0.014935473537177,C
2968968094,0,-0.0062183053328892,C
2245384272,0,0.0130277608835196,C
2245384272,0,0.0184449814349756,C
2245384272,0,0.021340643718361,C
2245384272,0,0.0259220361046673,C
2245384272,0,0.0414434518452879,C
864942730,0,0.0202221178439436,O
864942730,0,0.0030412596426563,O
864942730,0,0.0118420095249415,O
864942730,0,0.0042129556550436,O
864942730,0,0.0120324375044736,O
2246728737,0,0.0098005547838524,C
2246728737,0,0.0121715900732262,C
2246728737,0,0.0197363252264616,C
2246728737,0,0.0203475744126501,C
2246728737,0,0.0080915537188001,C
98513984,0,-0.0072353217616767,C
98513984,0,-0.0004745476676873,C
98513984,0,-0.0088125380281659,C
98513984,0,-0.0098347111052952,C
98513984,0,0.0016257605314058,C
2041434490,0,0.0055011941015488,N
2041434490,0,0.0219959456295238,N
2041434490,0,0.0079743281693142,N
2041434490,0,0.0157862241830524,N
2041434490,0,0.0143133785476087,N
2246699815,0,-0.0023069593743012,C
2246699815,0,-0.0078445082188377,C
2246699815,0,-0.0004854991851109,C
2246699815,0,0.005062281667856,C
2246699815,0,0.0038084989995931,C
994485099,0,-0.001841769065322,C
994485099,0,0.0069322749724074,C
994485099,0,0.0129531617143905,C
994485099,0,0.0053494276310694,C
994485099,0,-0.0113854747771225,C
1510328189,0,-0.0080997282971877,O
1510328189,0,0.0109843759385931,O
1510328189,0,0.0140264510660226,O
1510328189,0,-0.0024832742538442,O
1510328189,0,0.0166758535377744,O
3999906991,0,0.0006094589395885,C
3999906991,0,-0.000378055792343,C
3999906991,0,0.00084760592253,C
3999906991,0,0.0011706704185435,C
3999906991,0,-0.0013721350581211,C
2976033787,0,0.0040107908410008,C
2976033787,0,0.0075054430183421,C
2976033787,0,0.000910081968,C
2976033787,0,0.00617705120055,C
2976033787,0,0.0095621139443712,C
2092489639,0,0.0293844087439226,N
2092489639,0,0.0081683695753111,N
2092489639,0,0.0129372620930544,N
2092489639,0,0.0038916086835423,N
2092489639,0,0.004288774707418,N
847961216,0,-0.0055198986316851,N
847961216,0,-0.0030285857037885,N
847961216,0,-0.0053891808640281,N
847961216,0,-0.0010655386514183,N
847961216,0,0.0026159064923215,N
882399112,0,-7.491153456162802e-05,F
882399112,0,0.0092731751731782,F
882399112,0,0.0084677892457311,F
882399112,0,0.0025169622548929,F
882399112,0,0.0030837546350696,F
2803848648,0,0.0079717584705457,C
2803848648,0,0.0028409192952869,C
2803848648,0,0.005544864053494,C
2803848648,0,0.0054975545334609,C
2803848648,0,0.0043592590212043,C
2117068077,0,-0.0014667166946754,C
2117068077,0,-0.0007827106272405,C
2117068077,0,-0.0009735707860203,C
2117068077,0,-0.001575558631164,C
2117068077,0,-0.003077877390463,C
864674487,0,-0.0102065437137395,O
864674487,0,-0.0040120395503813,O
864674487,0,-0.0050785153262636,O
864674487,0,0.0041617396978859,O
864674487,0,-0.0134819997117552,O
864662311,0,0.0034849271632547,O
864662311,0,0.0092066015785901,O
864662311,0,0.0001891262826604,O
864662311,0,-0.0027575544356397,O
864662311,0,0.0061471313820119,O
2245273601,0,0.0026546920669221,C
2245273601,0,-0.0014250079763524,C
2245273601,0,0.0012047839507967,C
2245273601,0,0.0023479539483111,C
2245273601,0,-0.0023559510371833,C
1100037548,0,0.0056448836959255,N
1100037548,0,-0.0042727776968067,N
1100037548,0,0.0036223655174933,N
1100037548,0,-0.0004922087572785,N
1100037548,0,0.0141177164249817,N
485463469,0,0.0006748822524973,F
485463469,0,-0.0002085684143718,F
485463469,0,0.0004970547005135,F
485463469,0,0.0003943462897731,F
485463469,0,0.0005644931697578,F
1101907775,0,0.0125663651417814,N
1101907775,0,0.0116215465735545,N
1101907775,0,0.0089300457257877,N
1101907775,0,0.012237375801203,N
1101907775,0,0.0099847335167421,N
10565946,0,0.0002531398649491,O
10565946,0,0.0078455345744964,O
10565946,0,0.0009766625016737,O
10565946,0,0.0014630469928849,O
10565946,0,0.001458108504036,O
2076190208,0,0.003861472062425,O
2076190208,0,0.0003326108171624,O
2076190208,0,-0.0011962144542141,O
2076190208,0,-0.000993878209446,O
2076190208,0,-0.002940355166543,O
2142032900,0,0.0067932020261818,C
2142032900,0,0.001035290872686,C
2142032900,0,0.0048068117666043,C
2142032900,0,0.0006563101695975,C
2142032900,0,0.0016875673028557,C
2132511834,0,0.0031932250861577,N
2132511834,0,0.0087758665791466,N
2132511834,0,0.0049054260124197,N
2132511834,0,0.012426503068296,N
2132511834,0,0.0109776219034273,N
1312131881,0,0.000180844656655,C
1312131881,0,-4.271661274302119e-05,C
1312131881,0,9.757366546825352e-05,C
1312131881,0,0.0001012412552704,C
1312131881,0,9.750718544521142e-05,C
2353112200,0,0.0082672277649503,C
2353112200,0,0.0105906909897871,C
2353112200,0,0.0071392437339481,C
2353112200,0,0.0123100677496924,C
2353112200,0,0.0133603064013324,C
4121755354,0,0.0018479249185863,C
4121755354,0,-0.000352085859246,C
4121755354,0,0.0079198170369869,C
4121755354,0,0.0016891783722412,C
4121755354,0,0.0023417455752918,C
1054767590,0,-0.0077793153311288,C
1054767590,0,-0.0116867716932146,C
1054767590,0,-0.0124007332220653,C
1054767590,0,-0.0110409845448444,C
1054767590,0,-0.007393068150398,C
3537119515,0,-0.0006527082317674,C
3537119515,0,0.0024498120893076,C
3537119515,0,0.000934224210027,C
3537119515,0,-0.0005750746643211,C
3537119515,0,-0.0022684380280477,C
1510461303,0,-0.0018982245586283,C
1510461303,0,-0.0002927307608138,C
1510461303,0,-0.0015245701350152,C
1510461303,0,-0.0013008797416826,C
1510461303,0,-0.0006233828581979,C
4216335232,0,0.0034840722789466,C
4216335232,0,0.0041176707479358,C
4216335232,0,0.0021677498083875,C
4216335232,0,0.0058968585172606,C
4216335232,0,0.0027596646642237,C
3189457552,0,0.0065815830367799,O
3189457552,0,0.0041296054003306,O
3189457552,0,0.0047313560299808,O
3189457552,0,0.0046781657250527,O
3189457552,0,0.0013125405788139,O
2228063684,0,0.0007433685782856,O
2228063684,0,0.0048583643451737,O
2228063684,0,0.0031953295590784,O
2228063684,0,0.0019835693514077,O
2228063684,0,0.0003212179630741,O
3777168895,0,0.0052077819603068,C
3777168895,0,-0.0014352940168075,C
3777168895,0,0.0023049718074368,C
3777168895,0,0.004874042863985,C
3777168895,0,0.0006163050804993,C
1016841875,0,0.0007517987062707,Cl
1016841875,0,-0.0005754342774063,Cl
1016841875,0,0.0006591915471048,Cl
1016841875,0,-0.0021359646356251,Cl
1016841875,0,-0.002959566832845,Cl
422715066,0,0.0195110404131606,C
422715066,0,0.0002978749639804,C
422715066,0,-0.0026789106190912,C
422715066,0,-0.0006694799154335,C
422715066,0,0.0054807050616345,C
3452535345,0,-0.0085376871071773,Cl
3452535345,0,-0.0108371567872656,Cl
3452535345,0,-0.0075383914163439,Cl
3452535345,0,-0.0077666209015577,Cl
3452535345,0,-0.0074861051479678,Cl
1429883190,0,-0.000695959605005,C
1429883190,0,0.0005635499942832,C
1429883190,0,-0.0002569874432625,C
1429883190,0,-0.0007910628727245,C
1429883190,0,-0.0007260365385639,C
2763854213,0,0.0006931337271095,C
2763854213,0,-0.0004047180844847,C
2763854213,0,-0.0008945177428011,C
2763854213,0,-0.0035533459438129,C
2763854213,0,-0.0022703574266755,C
2424973678,0,-0.0027704772319518,C
2424973678,0,-0.0026718330155872,C
2424973678,0,-0.0014649357120756,C
2424973678,0,-0.0018889731003789,C
2424973678,0,-0.0017079204184822,C
847957139,0,-0.0045554595495895,N
847957139,0,-0.0040876187007667,N
847957139,0,-0.0018699095570009,N
847957139,0,-0.0039624025547555,N
847957139,0,-0.0053878983259385,N
1182622762,0,0.0007022331959868,C
1182622762,0,-0.0008290174174524,C
1182622762,0,-0.0007103926318607,C
1182622762,0,-0.0011979889743679,C
1182622762,0,0.0004808077456499,C
1857396528,0,-0.0019730255505043,C
1857396528,0,0.0031432496802378,C
1857396528,0,0.0015084365118166,C
1857396528,0,0.0062226348922855,C
1857396528,0,0.0028541103345045,C
3337745083,0,0.0125430854498717,F
3337745083,0,0.0100307040652699,F
3337745083,0,0.0111294036946761,F
3337745083,0,0.0025532781362768,F
3337745083,0,0.0074569016823146,F
4222851645,0,-0.0004547673187252,C
4222851645,0,-0.0010625681330135,C
4222851645,0,-0.0007343512459653,C
4222851645,0,3.690242035081504e-05,C
4222851645,0,-0.0012399770709033,C
3975275337,0,0.0054399071100993,C
3975275337,0,0.008266371880327,C
3975275337,0,0.0055666498397051,C
3975275337,0,8.873152486432723e-05,C
3975275337,0,0.007827521030335,C
3692055567,0,-0.0020885417332342,C
3692055567,0,-0.0020569694829698,C
3692055567,0,-0.0022123916013079,C
3692055567,0,-0.0016767425488485,C
3692055567,0,-0.0024644213317426,C
2944555726,0,0.0016097577614991,C
2944555726,0,0.0035429299816165,C
2944555726,0,0.003451320536974,C
2944555726,0,0.0017482169784587,C
2944555726,0,0.0028854452028432,C
2245277810,0,0.0033977517036907,C
2245277810,0,0.0023889117528905,C
2245277810,0,0.0039872394614172,C
2245277810,0,0.0024800038423801,C
2245277810,0,0.0018998969136396,C
3983062349,0,-0.0076884375378954,C
3983062349,0,-0.0099756088007044,C
3983062349,0,-0.0148236202311956,C
3983062349,0,0.0069887272543802,C
3983062349,0,0.0165100220581069,C
2246340824,0,-0.0090590735125274,C
2246340824,0,-0.0077933979040893,C
2246340824,0,-0.0077185243700278,C
2246340824,0,-0.0064846201638811,C
2246340824,0,-0.0088739653185974,C
2976816164,0,0.0051555091417977,C
2976816164,0,0.0042079724187276,C
2976816164,0,0.0055218407505049,C
2976816164,0,0.0037111527133205,C
2976816164,0,0.0058780178409786,C
3776905034,0,-0.0019900596185682,C
3776905034,0,-0.0037649170934361,C
3776905034,0,-0.0009491279209719,C
3776905034,0,-0.0022332979703142,C
3776905034,0,0.0022639795159262,C
3542456614,0,0.0052488843745298,C
3542456614,0,0.0018390103064425,C
3542456614,0,0.0041704932554419,C
3542456614,0,-3.510039924392583e-05,C
3542456614,0,0.0034680145063999,C
3537123720,0,-0.0026511577453335,C
3537123720,0,-0.0036194474593471,C
3537123720,0,0.0008052961246965,C
3537123720,0,0.0016349313699304,C
3537123720,0,-0.0003118284200349,C
1637836422,0,-0.0006521139025614,C
1637836422,0,0.0036475117056562,C
1637836422,0,0.0049122202738015,C
1637836422,0,0.0017306384988475,C
1637836422,0,0.0010266535784642,C
3162837314,0,0.005211404486501,C
3162837314,0,-0.0053884510477855,C
3162837314,0,-0.0004097068766542,C
3162837314,0,0.0020766785400267,C
3162837314,0,-0.0050638565186418,C
3982076256,0,0.0040072456648705,C
3982076256,0,0.0004474878490552,C
3982076256,0,-0.0007402408584011,C
3982076256,0,-0.0033832238454962,C
3982076256,0,-0.0013176655445404,C
1362518133,0,-0.0017526281232538,N
1362518133,0,0.0002355428750477,N
1362518133,0,-0.0009612500684924,N
1362518133,0,-0.0037084146910992,N
1362518133,0,-0.0046461378914048,N
1135286194,0,-0.0027264105477784,C
1135286194,0,-0.0018935459361069,C
1135286194,0,-0.0055009161058742,C
1135286194,0,0.0016528939097438,C
1135286194,0,-0.0007190246184913,C
1790668568,0,-0.0073519818311849,N
1790668568,0,-0.0037704988810898,N
1790668568,0,-1.710860197201569e-05,N
1790668568,0,-0.0082943504042514,N
1790668568,0,-0.0062686145296361,N
3124581743,0,0.0014780320019713,C
3124581743,0,0.0011322322022638,C
3124581743,0,0.0015697145600366,C
3124581743,0,-0.0005497250245974,C
3124581743,0,0.0025718124964276,C
2119439498,0,0.0046061478364893,C
2119439498,0,-0.0012745190658394,C
2119439498,0,-9.50756196604896e-05,C
2119439498,0,0.0028522400907728,C
2119439498,0,0.0021649650366741,C
1533864325,0,0.0010410160717144,O
1533864325,0,-0.0035173908183915,O
1533864325,0,4.5640331312268856e-05,O
1533864325,0,0.0003250929325701,O
1533864325,0,-0.003445147828632,O
4278941385,0,0.0,C
4278941385,0,0.0,C
4278941385,0,0.0,C
4278941385,0,0.0,C
4278941385,0,0.0,C
3918336191,0,0.0073119897466147,C
3918336191,0,0.0035102360282792,C
3918336191,0,0.0046143133154559,C
3918336191,0,0.009158205423559,C
3918336191,0,0.0038312564485343,C
2560252747,0,0.0037348235232175,C
2560252747,0,0.0026070401504005,C
2560252747,0,0.0023583897760168,C
2560252747,0,0.0014471409693459,C
2560252747,0,0.0044284627705282,C
999334238,0,-0.0045687666067916,S
999334238,0,-0.0036457848423563,S
999334238,0,-0.0033711602072236,S
999334238,0,-0.0042317638373242,S
999334238,0,-0.0011482154628967,S
1173125914,0,-0.000614046653631,C
1173125914,0,-0.0014017849403664,C
1173125914,0,-0.0009404695093234,C
1173125914,0,-0.0021503844026163,C
1173125914,0,-0.0003631349165575,C
2994748777,0,0.0014699473063479,C
2994748777,0,-0.0065690690975361,C
2994748777,0,0.0002713636388322,C
2994748777,0,0.0042526279838803,C
2994748777,0,-0.0011197937200826,C
3351556771,0,0.000519101160726,S
3351556771,0,0.0002609628415162,S
3351556771,0,0.0009734468551931,S
3351556771,0,-0.0002024147067618,S
3351556771,0,-0.0014074363238217,S
2509211297,0,0.0030015945624631,C
2509211297,0,0.0024943966904068,C
2509211297,0,0.000646870717166,C
2509211297,0,0.0022155092573244,C
2509211297,0,0.0004671998895124,C
848128881,0,0.0021679879222246,N
848128881,0,0.0003482632487864,N
848128881,0,0.0062136028066388,N
848128881,0,-0.0034979888989616,N
848128881,0,-0.0039579836796947,N
2246703798,0,-0.0071000877111223,C
2246703798,0,-0.001386705801836,C
2246703798,0,-0.0030652376271342,C
2246703798,0,-0.0040919628440007,C
2246703798,0,-0.0051808569750405,C
1276993226,0,-0.0005781875621845,C
1276993226,0,0.0003193816457791,C
1276993226,0,0.0010540177842199,C
1276993226,0,6.028161427429346e-05,C
1276993226,0,0.0025221613913356,C
2984966880,0,-0.0004725324330018,C
2984966880,0,0.0005806008370177,C
2984966880,0,0.0007170276998678,C
2984966880,0,0.0039832727066989,C
2984966880,0,0.0029762233255139,C
3315826729,0,0.0021569984791256,C
3315826729,0,0.0026461867566153,C
3315826729,0,0.0053046138711457,C
3315826729,0,0.0036643902911719,C
3315826729,0,-0.0006686897266591,C
2115476908,0,0.0066098939907591,O
2115476908,0,-3.054140478564449e-05,O
2115476908,0,0.0047018468584865,O
2115476908,0,0.0042410746531835,O
2115476908,0,0.0053884449792969,O
717512901,0,0.0028750141633333,N
717512901,0,-0.0050687318687311,N
717512901,0,-0.0007327549737182,N
717512901,0,-0.0005013516894408,N
717512901,0,0.0038059232252886,N
2245900962,0,0.0024865765322162,C
2245900962,0,0.0041466975296312,C
2245900962,0,-6.648279778920241e-07,C
2245900962,0,1.494339736729522e-06,C
2245900962,0,0.000930170826745,C
3848534832,0,-0.0004663853468329,C
3848534832,0,-0.0032691705861881,C
3848534832,0,-0.0006674019458626,C
3848534832,0,-0.0030210092587035,C
3848534832,0,-0.0021225292188576,C
3182824521,0,-0.0093878132053605,C
3182824521,0,0.0009897249207233,C
3182824521,0,-0.0013495358907045,C
3182824521,0,-0.0165853105914767,C
3182824521,0,0.009879063631127,C
26234434,0,0.0019379751112001,O
26234434,0,-0.0002424075873572,O
26234434,0,0.0016990643268165,O
26234434,0,0.0032466232600545,O
26234434,0,0.0005708451381001,O
288315894,0,0.0007386243015854,S
288315894,0,0.0002680828471174,S
288315894,0,0.0015264813988773,S
288315894,0,0.000875787525821,S
288315894,0,0.000467394394957,S
2811394787,0,-0.0006813314545758,C
2811394787,0,-0.0003583380100705,C
2811394787,0,-0.0003847178504554,C
2811394787,0,-7.903000838893615e-05,C
2811394787,0,-0.0004729997686389,C
19852674,0,0.002187238207155,C
19852674,0,0.0021097937795535,C
19852674,0,0.0025040556227519,C
19852674,0,-0.0004523718210831,C
19852674,0,0.0010219522709055,C
1861965050,0,-4.623924230939824e-05,C
1861965050,0,-0.0002053201989206,C
1861965050,0,-0.0001141588060936,C
1861965050,0,6.977014584519381e-05,C
1861965050,0,-0.0001365433399812,C
2423543607,0,-0.0049733341733523,C
2423543607,0,-0.0054531049805706,C
2423543607,0,-0.0042187631054078,C
2423543607,0,-0.0050623929597094,C
2423543607,0,-0.0044710511784655,C
1257718710,0,0.0018672565457245,C
1257718710,0,0.0027001873052744,C
1257718710,0,0.0024692231557359,C
1257718710,0,0.0011564193286995,C
1257718710,0,0.0002310099554756,C
2784506312,0,0.0007046962927876,C
2784506312,0,0.0008522535743085,C
2784506312,0,0.0003671302289752,C
2784506312,0,0.0008645052044431,C
2784506312,0,0.0006105876729121,C
3818546315,0,-6.680317356466681e-05,C
3818546315,0,-0.0012369061649389,C
3818546315,0,0.001440131608308,C
3818546315,0,-0.0026009953508551,C
3818546315,0,0.0013448695675353,C
3657471097,0,-0.0071920078918826,C
3657471097,0,-0.0010499099984567,C
3657471097,0,-0.0007585501546992,C
3657471097,0,-0.0012276160918239,C
3657471097,0,0.0030589995429675,C
2360741695,0,-0.0038137303312755,C
2360741695,0,-0.0016540486585497,C
2360741695,0,-0.0080682844663331,C
2360741695,0,-0.0062499139149367,C
2360741695,0,-0.008838050491508,C
551287920,0,0.0003473108918432,C
551287920,0,0.0001379302562269,C
551287920,0,0.0005320375959441,C
551287920,0,-4.265733565977925e-05,C
551287920,0,-0.0005572254257582,C
1842898132,0,-0.0035962488190549,C
1842898132,0,-0.0056690741658768,C
1842898132,0,-0.0046194570907457,C
1842898132,0,-0.0035044998640879,C
1842898132,0,-0.004391595188768,C
2832976762,0,0.0009065158027632,C
2832976762,0,0.0003581131391451,C
2832976762,0,0.0006314854854898,C
2832976762,0,7.272063340946211e-06,C
2832976762,0,0.0011256378763936,C
2309124039,0,0.005030070131244,C
2309124039,0,-0.0041663730727592,C
2309124039,0,0.0008602136644355,C
2309124039,0,0.0080771183486169,C
2309124039,0,0.0024385854106483,C
2591432844,0,0.0010415275289925,N
2591432844,0,-0.00016398431844,N
2591432844,0,0.0006114326974504,N
2591432844,0,-0.0005858446603693,N
2591432844,0,0.0008658574677266,N
963029399,0,0.0008528351117336,N
963029399,0,0.0002872660291186,N
963029399,0,0.0006890896469953,N
963029399,0,-0.0013534132291724,N
963029399,0,-0.0016230531069273,N
3884454603,0,0.0005112445684121,C
3884454603,0,-0.0001295705403082,C
3884454603,0,0.0002105992871199,C
3884454603,0,0.0002095514460934,C
3884454603,0,0.0009594445585552,C
4089138501,0,0.0050314112266577,C
4089138501,0,0.0106628110859872,C
4089138501,0,0.0072836810724443,C
4089138501,0,0.0068320919606253,C
4089138501,0,0.0027950773180903,C
932712697,0,-0.0021236168667857,O
932712697,0,-0.0017700796056892,O
932712697,0,-0.0039665113244865,O
932712697,0,-0.0035613338335254,O
932712697,0,-0.0036960730958369,O
1634606847,0,0.0022382728716372,N
1634606847,0,0.00347485515418,N
1634606847,0,0.0022567392875745,N
1634606847,0,0.0013770751304593,N
1634606847,0,0.0027703980319457,N
3624155,0,0.0002141742510197,C
3624155,0,0.0004635699569194,C
3624155,0,0.0007330432235026,C
3624155,0,0.0005068812510385,C
3624155,0,-1.8835901099967245e-05,C
161963127,0,1.0984144411696484e-05,C
161963127,0,3.891105223274849e-05,C
161963127,0,2.7598775951709346e-05,C
161963127,0,-1.989658258028104e-05,C
161963127,0,3.096605263408492e-05,C
2257970297,0,0.0036655363092018,C
2257970297,0,0.0049533153579579,C
2257970297,0,0.0036748762037385,C
2257970297,0,0.0006906316919241,C
2257970297,0,0.0028635204358435,C
787069595,0,-0.0019438459562587,C
787069595,0,-0.0012538541690674,C
787069595,0,-0.0013623791458686,C
787069595,0,-0.0037425203656999,C
787069595,0,-0.0025480200557054,C
517457164,0,0.0001634932377942,C
517457164,0,-8.532168402686224e-05,C
517457164,0,5.771167518742182e-05,C
517457164,0,0.0001007488805985,C
517457164,0,-0.000411630057303,C
3207567135,0,-0.0001623832686683,C
3207567135,0,0.0016153326880072,C
3207567135,0,0.0021160400705886,C
3207567135,0,0.0019052672544521,C
3207567135,0,0.0025857368485723,C
435232729,0,0.0017236403520164,N
435232729,0,0.0118996663547936,N
435232729,0,0.004314881481472,N
435232729,0,0.0063484915065371,N
435232729,0,0.0052287758405682,N
2806018737,0,-0.0001029293780862,C
2806018737,0,-3.504131380627218e-05,C
2806018737,0,9.397065636307378e-05,C
2806018737,0,0.0002456985083381,C
2806018737,0,-3.3859110895484434e-05,C
4008337421,0,-0.0004206313738693,C
4008337421,0,-0.0006226951861467,C
4008337421,0,-0.0011631581352725,C
4008337421,0,-0.0002553426078022,C
4008337421,0,-0.0010732024061981,C
3026394695,0,-0.0003438427649812,C
3026394695,0,-0.000479256727576,C
3026394695,0,-0.000940355827117,C
3026394695,0,0.0004495539587465,C
3026394695,0,-0.000363670014523,C
2296565457,0,0.0071848292084305,N
2296565457,0,0.0077722650509035,N
2296565457,0,0.0098108179462227,N
2296565457,0,0.0045311094928081,N
2296565457,0,0.0016833157881308,N
2089117413,0,0.0057204318907551,C
2089117413,0,0.0054522109732096,C
2089117413,0,0.006211311280561,C
2089117413,0,0.0026723634402299,C
2089117413,0,0.0072124310950002,C
572760528,0,0.0014775995387124,C
572760528,0,0.001450086442886,C
572760528,0,0.0020852569671363,C
572760528,0,0.0021798229748889,C
572760528,0,0.0040485924417478,C
3002759401,0,0.0050178480597706,C
3002759401,0,0.001148021341362,C
3002759401,0,0.0047314909915412,C
3002759401,0,0.0026808079891187,C
3002759401,0,0.0024742087824238,C
3118255683,0,-0.004828411341779,N
3118255683,0,-0.0014937836142432,N
3118255683,0,-0.0018583060338485,N
3118255683,0,-0.0023797230235915,N
3118255683,0,-0.0022835282244451,N
74537039,0,0.0,C
74537039,0,0.0,C
74537039,0,0.0,C
74537039,0,0.0,C
74537039,0,0.0,C
2473389857,0,0.0052535520426337,C
2473389857,0,0.0014476501410843,C
2473389857,0,0.0025988051137849,C
