Substructure,Fold,Importance,Central Atom
3218693969,0,0.022510155708186153,C
3218693969,0,0.0334696219547872,C
3218693969,0,0.01953866484541944,C
3218693969,0,0.0054519091483006266,C
3218693969,0,0.02467341152203595,C
3217380708,0,0.010955988471382683,C
3217380708,0,0.013354924453634065,C
3217380708,0,0.015444189201533898,C
3217380708,0,0.024675898121956474,C
3217380708,0,0.007578555582649971,C
951226070,0,0.006339976033446382,C
951226070,0,0.0008888289410353689,C
951226070,0,0.005352853734443941,C
951226070,0,-0.0035829860626783727,C
951226070,0,0.0008580285480993544,C
2968968094,0,0.014212744828913992,C
2968968094,0,-0.0028184396347951113,C
2968968094,0,0.011088401258993907,C
2968968094,0,0.019495516571121585,C
2968968094,0,-0.006905710445889501,C
2245384272,0,0.009615692734333936,C
2245384272,0,0.011728085767955365,C
2245384272,0,0.01244772626209878,C
2245384272,0,0.02166766519537011,C
2245384272,0,0.007430632214526889,C
864942730,0,0.050841665331064045,O
864942730,0,0.012813202345147934,O
864942730,0,0.003691379282866114,O
864942730,0,0.00401526662676821,O
864942730,0,0.006147664525107732,O
2246728737,0,0.013958553125030804,C
2246728737,0,0.00537471861519645,C
2246728737,0,0.009937304645402989,C
2246728737,0,0.020591651555480484,C
2246728737,0,0.01310737925950567,C
98513984,0,-0.004474194398552567,C
98513984,0,0.001733016547577182,C
98513984,0,-0.011011304491299945,C
98513984,0,-0.008825411183470244,C
98513984,0,-0.003626238968139517,C
2041434490,0,0.0060539708729290265,N
2041434490,0,0.01119156683986755,N
2041434490,0,0.028056452921803365,N
2041434490,0,0.03162984642418443,N
2041434490,0,0.009238425211087753,N
2246699815,0,0.009424990801225275,C
2246699815,0,0.020649429731860014,C
2246699815,0,0.026253303175298837,C
2246699815,0,0.016987640423105965,C
2246699815,0,0.009836680819416022,C
994485099,0,0.009955425265688489,C
994485099,0,0.005137801953465915,C
994485099,0,0.004571363983968069,C
994485099,0,0.006391022606774599,C
994485099,0,0.0003055413962790299,C
