Substructure,Fold,Importance,Central Atom
3218693969,0,0.02084514590831099,C
3218693969,0,0.02766999659423197,C
3218693969,0,0.016187744056174402,C
3218693969,0,0.004760915164901847,C
3218693969,0,0.015107138139788145,C
3217380708,0,-0.002245722877308509,C
3217380708,0,-0.004056436413899633,C
3217380708,0,0.01580800839649521,C
3217380708,0,0.024613031542906505,C
3217380708,0,0.013862216835287766,C
2968968094,0,-0.025497880946616536,C
2968968094,0,-0.01906466734175738,C
2968968094,0,-0.018197232393371787,C
2968968094,0,-0.016913819077652104,C
2968968094,0,-0.025869642468693943,C
2245384272,0,0.021351316302268053,C
2245384272,0,0.023216670366311476,C
2245384272,0,0.029398713733211013,C
2245384272,0,0.0009183810403732284,C
2245384272,0,0.04602490687153338,C
864942730,0,0.07032168284471041,O
864942730,0,0.03689627544106011,O
864942730,0,0.07508437184401018,O
864942730,0,0.09458330185714003,O
864942730,0,0.07774415473937912,O
2246728737,0,0.08498411367494141,C
2246728737,0,0.06428339721150444,C
2246728737,0,0.0401983522631113,C
2246728737,0,0.09150975764995439,C
2246728737,0,0.06544894920531852,C
2041434490,0,0.09608457751431121,N
2041434490,0,0.0975193736986556,N
2041434490,0,0.07826822262452848,N
2041434490,0,0.11284992647743763,N
2041434490,0,0.11457759016475799,N
2246699815,0,0.04046556327779305,C
2246699815,0,0.016479754449505335,C
2246699815,0,0.0223978507765894,C
2246699815,0,0.012841844150245585,C
2246699815,0,5.123440986420924e-05,C
2976033787,0,-0.006947332564715802,C
2976033787,0,-0.004886211021096654,C
2976033787,0,-0.0076971019046347955,C
2976033787,0,-0.011690725217766929,C
2976033787,0,-0.006465643584583791,C
2092489639,0,0.01878090599657889,N
2092489639,0,-0.008642984313919966,N
2092489639,0,0.010940674127079664,N
2092489639,0,0.013195898353260072,N
2092489639,0,0.0197436028154907,N
847961216,0,0.0064526335571417626,N
847961216,0,0.002197355119093025,N
847961216,0,0.0055869724562371825,N
847961216,0,0.007274959996932839,N
847961216,0,0.0016091431681140023,N
882399112,0,0.01764310886641507,F
882399112,0,0.048753306441360555,F
882399112,0,0.0054142284581713,F
882399112,0,0.040162735933458094,F
882399112,0,0.017941254461756984,F
864674487,0,-0.0002037661414246994,O
864674487,0,0.0018046071957522614,O
864674487,0,0.00262061658802637,O
864674487,0,0.03354646426176877,O
864674487,0,-0.004158727080919911,O
864662311,0,0.21722049349186812,O
864662311,0,0.2062928503502215,O
864662311,0,0.19938671855656565,O
864662311,0,0.3776418591198888,O
864662311,0,0.2521182608775653,O
2245273601,0,0.0015309225795328008,C
2245273601,0,0.0005711477552017286,C
2245273601,0,-0.012827680608713976,C
2245273601,0,0.02907462374006964,C
2245273601,0,-0.0007318293641511708,C
2132511834,0,0.06069382817575386,N
2132511834,0,0.04587647015366181,N
2132511834,0,0.09620470929868685,N
2132511834,0,0.04968832550093594,N
2132511834,0,0.04940567960026332,N
3189457552,0,0.00143988014880303,O
3189457552,0,-0.004632733883081275,O
3189457552,0,0.0023678359038712404,O
3189457552,0,0.000617072401145391,O
